index,phrase str,token size
1,world war 2,3
2,ww2,1
3,world war 1,3
4,ww1,1
5,cold war,2
6,propaganda,1
7,poster,1
8,war poster,2
9,war propaganda,2
10,leaflet,1
11,Michael Whelan,2
12,frank frazetta,2
13,war bonds,2
14,hitler,1
15,dictator,1
16,Japanese war poster,3
17,Japanese war propaganda,3
18,Japanese PSYOP,2
19,Japanese propaganda,2
20,Soviet war poster,3
21,Soviet PSYOP,2
22,russian war poster ,3
23,american war poster,3
24,Nazi war poster,3
25,Antifa war poster,3
26,PSYOP,1
27,USSR PSYOP,2
28,USSR war poster,3
30,USSR war propaganda,3
31,Fascist,1
32,Nazi,1
33,Antifa,1
34,Communist,1
35,Cuba,1
36,american,
