DSP Items
Iron Ore
Iron Ingot
Magnet
Steel
Gear
Copper Ore
Copper ingot
Magnetic coil
Plasma exciter
Circuit board
Processor
Silicon ore
High-purity silicon
Microcrystalline component
Electric motor
Electromagnetic turbine
Coal
Energetic graphite
Super-magnetic ring
Stone
Glass
Prism
Photon combiner
Crystal silicon
Particle broadband
Titanium ore
Titanium ingot
Titanium alloy
Titanium glass
Titanium crystal
Sulfuric acid
Water
Organic crystal
Hydrogen
Casimir crystal
Deuterium
Fire ice
Graphene
Plane filter
Quantum chip
Stone brick
Graviton lens
Diamond
Particle container
Crude oil
Refined oil
Plastic
Spiniform stalagmite crystal
Carbon nanotube
Solar sail
Frame material
Dyson sphere component
Strange matter
Deutereon fuel rod
Small carrier rocket
Electromagnetic matrix
Energy matrix
Structure matrix
Information matrix
Gravity matrix
Critical photon
Antimatter
Universe matrix
Antimatter fuel rod
Annihilation constraint sphere
Foundation
Iron Ore
Copper Ore
Stone Ore
Coal Ore
Silicon Ore
Titanium Ore
Crude Oil
Water
Hydrogen
Dueterium
Hydrogen
Dueterium
Fractionators
Iron Ingot
Magnet
Copper Ingot
Stone
Glass
Energetic Graphite
High-Purity Silicon
Titanium Ingot
Steel
Diamond
Crystal Silicon
Titanium Alloy
Plasma Refining
X-Ray Cracking
Gear
Circuit Board
Magnetic Coil
Prism
Electric Motor
Electromagnetic Turbine
Super Magnetic Ring
Plasma Exciter
Photon Combiner
Microcrystalline Component
Processor
Particle Container
Titanium Crystal
Hydrogen Fuel Rod
Deuteron Fuel Rod
Thruster
Reinforced Thruster
Logistics Drone
Logistics Vessel
Solar Sail
Frame Material
Dyson Sphere Component
Foundation
Plastic
Graphene
Organic Crystal
Sulphuric Acid
Carbon Nanotube
Wireless power tower
Wind turbine
Water pump
Water
Vertical launching silo
Universe matrix
