phrase,token_length,n_prompts,elm_average_score,elm_percentile,elm_percentile_bin,linear_average_score,linear_percentile,linear_percentile_bin
city background,4,73,1116.04296038902,0.868616632810247,3,1968.58324860873,0.852347139797352,3
buildings,3,65,1110.51522357647,0.863430770269358,3,1931.83057391827,0.822668049563344,3
st. louis \(luxurious wheels\) \(azur lane\),18,54,1104.74552521882,0.85810375407351,3,2076.72404423466,0.917639910889084,3
intricate steampunk+ city,6,55,1072.26451416016,0.82380341591845,3,2153.10470081676,0.948086140552218,3
highly detailed cg unified 8k wallpapers,9,69,1067.39183597288,0.818138858373787,3,1968.7489526721,0.852457607875147,3
makima \(chainsaw man\),11,113,1059.69162581452,0.808957733686013,3,2056.08546974385,0.907366379654235,3
night city,4,54,1058.03863412363,0.807104324825246,3,1852.75351065177,0.740731421417305,2
unreal engine 5,5,187,1055.94038211598,0.804428542496456,3,1899.74668321253,0.792135900284149,3
large pectorals,6,56,1055.3517036438,0.803685951529062,3,1846.62533787319,0.733857852132341,2
muscular body,4,50,1047.06228149414,0.793522888372007,3,1899.10471191406,0.791516051625415,3
pixel art,4,80,1045.29200668335,0.791252155661796,3,1839.13442611694,0.724922212061887,2
city lights,4,85,1044.91612620634,0.790656855464795,3,1847.64578642004,0.73506072675721,2
cyberpunk city,4,82,1043.27714650224,0.788619333141037,3,1917.16313059737,0.809295275034828,3
castle,3,198,1041.78039458304,0.786655456202476,3,2001.790084993,0.875962759983553,3
skyscraper,5,103,1033.82724976771,0.776302142466998,3,1919.23339488205,0.811234603511657,3
forest background,4,77,1033.82284823331,0.776289868236132,3,1792.63242250913,0.661716060217377,2
unreal 5,4,133,1033.29387096893,0.775627059769367,3,1914.10498505786,0.806183757510295,3
dungeon,3,75,1032.9505485026,0.775123816303861,3,1940.09928222656,0.829560030194608,3
princess zelda,4,91,1032.07601425674,0.773841159178363,3,1897.72464156937,0.79017816046102,3
cum pool,4,53,1031.81686171046,0.773479069367816,3,1889.82290361512,0.782334926937641,3
city,3,890,1027.74947202875,0.76811523047937,3,1877.71458253325,0.769207637026445,3
skyline,3,90,1027.49359368218,0.767771552015122,3,1806.51116129557,0.682183340186446,2
cityscape,3,537,1026.69401234888,0.766654597006315,3,1896.371501333,0.788852543527491,3
studio ghibli,4,770,1024.9787122454,0.764254984872011,3,1843.37001794592,0.72995464671695,2
extremely detailed cg unity 8k wallpaper,9,1869,1024.84521950548,0.764095419870752,3,1862.31782145574,0.751581841502857,3
jungle,3,80,1020.7769949913,0.757866247706253,3,1925.08383636475,0.816432740283412,3
waterfall,3,135,1019.70378870081,0.75630742038627,3,1912.53363263166,0.804802906537869,3
muscular female,4,77,1019.57492976994,0.756086484230682,3,1874.04235998377,0.764923930454208,3
unreal engine,4,508,1018.73265796571,0.754987940568174,3,1856.57775854877,0.744984442412377,2
(extremely detailed cg unity 8k wallpaper),11,1162,1017.63037797465,0.753226588438902,3,1852.53589077291,0.740449114107387,2
palm tree,4,67,1015.44412550286,0.750440338032318,3,1829.56595622959,0.713016208121859,2
english text,4,51,1014.6684773763,0.749329520138944,2,1773.03984638289,0.632227220561792,2
mecha,4,176,1014.18835119768,0.748611477633283,2,1823.09118305553,0.704596085747777,2
muscular male,4,197,1013.6750364352,0.74772773301093,2,1820.7119060071,0.701509116684976,2
white footwear,4,56,1013.24325289045,0.747089473005898,2,1823.4737461635,0.705068643636118,2
atmospheric perspective,4,84,1012.14418538411,0.745579742609379,2,1871.67176528204,0.762260422356284,3
forest,3,788,1011.59804941555,0.744781917603088,2,1836.6264540774,0.721829105883653,2
palm trees,4,59,1011.31163981809,0.744407553561675,2,1771.6131219379,0.630011721890477,2
puffy short sleeves,5,103,1011.24713875484,0.74431549683018,2,1875.51463362314,0.766636185660016,3
luxurious cyberpunk,4,94,1010.91243727664,0.743867487403571,2,1841.66116008353,0.727831204777131,2
architecture,3,107,1010.90218773958,0.743842938941839,2,1865.02733918662,0.754969529221875,3
natural volumetric lighting and best shadows,9,88,1008.09225013039,0.73928919929055,2,1889.56531871449,0.78198511135796,3
mecha musume,6,120,1006.56546274821,0.736889587156245,2,1846.97498270671,0.734299724443517,2
panorama,3,50,1004.90343444824,0.734385644059579,2,1772.05131103516,0.63071135304984,2
atmospheric depth,4,147,1004.77168927874,0.734238353289187,2,1853.90497365939,0.741922021811308,2
